t_s,requests,p50_us,p95_us,p99_us,max_us
25.5,9646,101.8,212.9,307.1,1060.6
25.6,9713,102.7,209.8,298.8,559.5
25.7,9840,101.2,203.8,278.8,636.9
25.8,9199,106.6,221.7,319.1,795.7
25.9,9113,106.9,231.1,348.1,796.9
26.0,9010,110.4,224.5,319.3,801.4
26.1,8976,107.5,238.0,341.1,877.0
26.2,8491,116.4,239.9,331.0,873.6
26.3,8207,118.6,254.8,369.0,1440.9
26.4,9494,102.4,217.0,316.2,672.9
26.5,9164,108.0,222.4,314.0,667.9
26.6,8671,113.9,235.6,330.7,816.1
26.7,9414,105.0,219.7,298.6,904.8
26.8,9701,102.0,212.0,296.1,811.2
26.9,9268,107.4,218.5,326.2,581.2
27.0,9379,104.8,224.8,309.9,811.7
27.1,9249,106.4,226.7,322.5,546.0
27.2,9318,106.6,218.4,300.6,990.4
27.3,9368,106.4,215.5,296.7,552.4
27.4,9352,105.2,221.3,313.4,998.9
27.5,8614,115.3,235.9,329.8,725.6
27.6,9589,102.5,217.5,321.3,733.4
27.7,9913,99.9,202.1,283.5,791.4
27.8,9778,101.0,208.6,303.8,791.6
27.9,9579,102.5,214.3,299.0,766.6
28.0,9803,101.2,208.2,282.6,614.7
28.1,9277,104.8,227.3,328.0,1207.0
28.2,8877,111.3,230.9,328.0,944.6
28.3,9339,103.7,228.3,310.9,626.6
28.4,9770,101.4,214.0,295.8,652.8
28.5,9490,103.5,220.4,308.9,743.0
28.6,9642,101.5,216.7,313.5,627.5
28.7,9912,98.2,212.5,300.4,820.2
28.8,9714,101.8,209.6,302.2,711.3
28.9,9053,107.1,234.0,335.1,1110.9
29.0,9573,102.1,216.8,311.6,770.3
29.1,9412,105.4,213.3,299.1,622.5
29.2,9816,99.8,209.9,302.2,572.5
29.3,9448,104.9,214.7,299.9,706.5
29.4,9214,103.7,224.7,310.7,644.3
29.5,9239,105.7,225.8,327.1,889.2
29.6,9056,107.7,232.5,337.3,693.6
29.7,9321,107.0,209.9,286.6,625.2
29.8,9349,104.7,220.4,318.9,638.8
29.9,9464,103.3,221.8,312.9,648.1
30.0,9295,107.0,215.0,301.1,693.4
30.1,9524,104.9,208.3,292.3,665.7
30.2,9522,104.0,212.6,292.9,710.5
30.3,9166,109.2,215.7,299.2,625.1
30.4,9113,108.3,226.6,330.4,589.5
30.5,9006,110.0,225.9,311.5,576.7
30.6,9129,106.6,232.3,328.8,684.3
30.7,9646,100.9,217.7,309.2,572.0
30.8,9584,103.2,214.8,293.7,1211.8
